,model_name,accuracy,roc_auc,log_loss,precision,recall,f1_score,cv_mean,cv_std,cv_scores,last_updated
logistic_regression,logistic_regression,0.8796414852752881,0.956237397856309,0.27507192720923,0.9082125603864735,0.8703703703703703,0.8888888888888888,0.9578585796421224,0.005265265997902138,"[0.9515210639483952, 0.9532062506632706, 0.9582139446036294, 0.966348712217965, 0.9600029267773521]",2025-10-17T21:10:34.470454
random_forest,random_forest,0.8732394366197183,0.9471572216916057,0.30218926327059337,0.8936170212765957,0.875,0.8842105263157894,0.9521893395185131,0.005588285304343564,"[0.9446590215284967, 0.9489878488803991, 0.9504934734161096, 0.9605350681140911, 0.9562712856534695]",
